Price,Open,High,Low,Close
Ticker,MSFT,MSFT,MSFT,MSFT
Date,,,,
2020-06-22,186.0971303068874,190.8210845257473,185.56485622646053,190.6405029296875
2020-06-23,192.08520538344897,193.85312366603114,191.45787626628606,191.91412353515625
2020-06-24,191.6195195901801,193.18782826180146,186.8290236235657,188.045654296875
2020-06-25,188.00762775594458,190.67851232035468,185.79297603620233,190.421875
2020-06-26,189.8420540312599,189.99413646513128,185.23216946864412,186.61038208007812
2020-06-29,186.08758992879393,188.7014466837992,183.96799378477183,188.61590576171875
2020-06-30,188.08363804294686,194.28084454907003,187.9505695474995,193.43490600585938
2020-07-01,193.083257178087,196.1343478236479,191.78108566908128,194.56602478027344
2020-07-02,195.49749438312054,197.72166017594725,194.85116577047972,196.0487823486328
2020-07-06,198.49154856739926,200.6776863993689,197.78817819437523,200.2689666748047
2020-07-07,200.03132911943715,204.04241234730003,197.69312352420133,197.94024658203125
2020-07-08,199.67019154758614,202.70225385814945,198.35850577769656,202.29354858398438
2020-07-09,205.62027998475654,205.6678075649142,201.00088055902637,203.7097930908203
2020-07-10,203.04443714124912,203.48167057647657,200.63018979121773,203.0919647216797
2020-07-13,203.86182504239108,205.11648332076217,196.27689159753407,196.8186798095703
2020-07-14,195.92521229609352,198.51055554544172,192.02818349282316,198.03530883789062
2020-07-15,199.18543117423306,200.86780886223525,194.879696441531,197.7406768798828
2020-07-16,195.23134167200274,195.51649259722572,192.29432049997686,193.82461547851562
2020-07-17,194.34740174799845,194.88917548630673,191.4198801082913,192.83612060546875
2020-07-20,194.8511575839136,201.78976268148,192.95967039395572,201.12442016601562
2020-07-21,203.08245412639516,203.34859115848997,197.73117083168316,198.41552734375
2020-07-22,198.84323696936167,201.7897726158241,198.07333955618,201.26699829101562
2020-07-23,196.9327115361817,200.4780475272384,192.14221712418572,192.51290893554688
2020-07-24,190.4978964459514,192.81710279590382,187.73195701203042,191.33433532714844
2020-07-27,191.49595344640912,193.8721875294753,190.91615175000567,193.7581329345703
2020-07-28,193.52994237286373,194.56597659429815,191.75252453394629,192.01866149902344
2020-07-29,192.4749199448213,194.51847502189628,192.00917294201005,193.9576873779297
2020-07-30,191.0491779037162,194.33789152672946,189.6899792712966,193.80560302734375
2020-07-31,194.28085515431556,194.94621217125055,189.15769604486636,194.86065673828125
2020-08-03,201.04835803047536,206.86537270810445,200.02182346912124,205.81982421875
2020-08-04,203.56721293636207,204.13751489873653,199.8983070536526,202.73077392578125
2020-08-05,204.26107646912982,204.35613163403326,201.09594542586711,202.3981170654297
2020-08-06,201.8277788907073,205.65826639464163,201.07689543479427,205.63926696777344
2020-08-07,204.21354073459383,205.02145153311608,200.4875933337867,201.9608612060547
2020-08-10,201.19093220446166,201.39054219594667,196.1343149595848,197.94024658203125
2020-08-11,196.90421954309804,197.3699520347846,193.08323194975972,193.3113555908203
2020-08-12,195.12680683296387,199.86977468236574,194.61354671761342,198.833740234375
2020-08-13,199.07135133423577,200.88679731225912,197.8452066566346,198.36798095703125
2020-08-14,198.42502169750838,199.21393305825572,197.23690479940333,198.55809020996094
2020-08-17,199.22346805457104,200.73474942577576,198.5771248528308,199.8697967529297
2020-08-18,200.10737165135185,201.8467762903715,198.85272792197682,201.0198516845703
2020-08-19,201.50579719810975,202.08700035706565,199.37153987670285,199.80029296875
2020-08-20,199.6478303586499,204.85007589217304,199.04758188287093,204.4499053955078
